Bin Id	Marker lineage	# genomes	# markers	# marker sets	Completeness (CheckM1)	Contamination (CheckM1)	Strain heterogeneity	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	Translation table	# predicted genes	0	1	2	3	4	5+	Completeness (CheckM2)	Contamination (CheckM2)	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes	Circular contigs	Circular bp	Circular fraction	mid_B011_final.fastq Relative Abundance (%)	mid_B011_final.fastq Covered Fraction	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
bin.107_sub	k__Bacteria (UID203)	5449	104	58	10.63	0.86	100.0	232506	0	35	35	8457	8457	6643	6643	19636	19636	51.8	2.69	79.5	11	345	95	8	1	0	0	0	9.71	0.08	Neural Network (Specific Model)	11	0.795	8457	179.99710144927536	232506	0.52	345	35	19636		0	0	0.0	0.3603645	1.0	Unclassified Bacteria																		Insufficient number of amino acids in MSA (5.9%)
bin.10_sub	k__Bacteria (UID203)	5449	103	57	25.44	0.0	0.0	983934	0	117	117	9519	9519	8409	8409	29501	29501	42.3	1.31	82.99	11	1477	83	20	0	0	0	0	24.79	1.42	Neural Network (Specific Model)	11	0.83	9519	186.06702775897088	983934	0.42	1477	117	29501		0	0	0.0	0.45203793	0.9999939	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A obeum	GCF_025147765.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A obeum	97.48	0.835	GCF_025147765.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A obeum	97.48	0.835	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_934424005.1, s__Blautia_A sp934424005, 95.0, 94.47, 0.694; GCA_934378195.1, s__Blautia_A sp934378195, 95.0, 86.54, 0.385; GCF_018918125.1, s__Blautia_A sp018918125, 95.0, 85.64, 0.329; GCF_934372025.1, s__Blautia_A sp934372025, 95.0, 85.16, 0.296; GCF_014297355.1, s__Blautia_A intestinalis, 95.0, 84.14, 0.24; GCF_900120195.1, s__Blautia_A sp900120195, 95.0, 84.01, 0.236; GCA_900066355.1, s__Blautia_A sp900066355, 95.0, 83.99, 0.243; GCA_934371915.1, s__Blautia_A sp934371915, 95.0, 83.44, 0.199; GCF_009883055.1, s__Blautia_A sp900548245, 95.0, 83.02, 0.164; GCF_003461245.1, s__Blautia_A sp000436615, 95.0, 82.99, 0.166	19.76	11.0		
bin.11_sub	o__Clostridiales (UID1212)	172	261	147	59.23	14.0	51.52	1759021	0	275	275	7645	7645	6396	6396	29596	29596	59.1	2.38	81.29	11	2528	114	120	24	3	0	0	43.12	6.25	Neural Network (Specific Model)	11	0.813	7645	190.2401107594937	1759021	0.59	2528	275	29596		0	0	0.0	0.45595202	0.99989426	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__											d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_010509575.1, s__Faecalibacterium duncaniae, 95.0, 94.25, 0.633; GCF_023347255.1, s__Faecalibacterium prausnitzii_D, 95.0, 89.91, 0.4; GCF_023347535.1, s__Faecalibacterium sp900539885, 95.0, 88.02, 0.367; GCA_902463235.1, s__Faecalibacterium sp902463235, 95.0, 87.99, 0.249; GCA_025757845.1, s__Faecalibacterium sp900539945, 95.0, 87.55, 0.335; GCA_937915335.1, s__Faecalibacterium sp937915335, 95.0, 87.44, 0.314; GCA_934511465.1, s__Faecalibacterium sp934511465, 95.0, 86.66, 0.262; GCF_023347295.1, s__Faecalibacterium sp003449675, 95.0, 86.45, 0.281; GCA_902463905.1, s__Faecalibacterium sp902463905, 95.0, 86.3, 0.24; GCF_003324185.1, s__Faecalibacterium prausnitzii, 95.0, 86.17, 0.271; GCA_934526125.1, s__Faecalibacterium sp934526125, 95.0, 86.16, 0.285; GCF_002549775.1, s__Faecalibacterium prausnitzii_F, 95.0, 86.1, 0.315; GCA_905215595.1, s__Faecalibacterium sp905215595, 95.0, 85.97, 0.187; GCA_934513205.1, s__Faecalibacterium sp934513205, 95.0, 85.93, 0.242; GCF_019967995.1, s__Faecalibacterium prausnitzii_E, 95.0, 85.87, 0.317; GCF_003287405.1, s__Faecalibacterium prausnitzii_J, 95.0, 85.75, 0.263; GCF_003287455.1, s__Faecalibacterium hattorii, 95.0, 85.72, 0.324; GCA_934501115.1, s__Faecalibacterium sp934501115, 95.0, 85.7, 0.244; GCA_934561555.1, s__Faecalibacterium sp934561555, 95.0, 85.68, 0.265; GCA_934512105.1, s__Faecalibacterium sp934512105, 95.0, 85.67, 0.224; GCA_934539245.1, s__Faecalibacterium sp934539245, 95.0, 85.6, 0.243; GCA_900765105.1, s__Faecalibacterium sp900765105, 95.0, 85.58, 0.248; GCA_934532365.1, s__Faecalibacterium sp934532365, 95.0, 85.56, 0.231; GCA_934503275.1, s__Faecalibacterium sp934503275, 95.0, 85.55, 0.261; GCF_023347235.1, s__Faecalibacterium prausnitzii_A, 95.0, 85.55, 0.26; GCA_934525845.1, s__Faecalibacterium sp934525845, 95.0, 85.39, 0.267; GCA_934547065.1, s__Faecalibacterium sp934547065, 95.0, 85.36, 0.256; GCA_900772565.1, s__Faecalibacterium sp900772565, 95.0, 85.33, 0.247; GCA_934540955.1, s__Faecalibacterium sp934540955, 95.0, 85.33, 0.236; GCA_934524985.1, s__Faecalibacterium sp934524985, 95.0, 85.28, 0.255; GCA_934525735.1, s__Faecalibacterium sp934525735, 95.0, 85.27, 0.226; GCA_934561115.1, s__Faecalibacterium sp934561115, 95.0, 85.16, 0.238; GCA_934561485.1, s__Faecalibacterium sp934561485, 95.0, 85.08, 0.249; GCA_900765705.1, s__Faecalibacterium sp900765705, 95.0, 85.03, 0.204; GCF_003287495.1, s__Faecalibacterium prausnitzii_I, 95.0, 84.82, 0.252; GCA_934553285.1, s__Faecalibacterium sp934553285, 95.0, 84.74, 0.22; GCA_934525325.1, s__Faecalibacterium sp934525325, 95.0, 84.7, 0.197; GCA_004558805.1, s__Faecalibacterium prausnitzii_M, 95.0, 84.55, 0.219; GCA_934525405.1, s__Faecalibacterium sp934525405, 95.0, 84.46, 0.202; GCF_023347275.1, s__Faecalibacterium sp900758465, 95.0, 84.39, 0.211; GCF_020687245.1, s__Faecalibacterium longum, 95.0, 84.25, 0.213; GCA_934514285.1, s__Faecalibacterium sp934514285, 95.0, 84.24, 0.19; GCA_900551435.1, s__Faecalibacterium sp900551435, 95.0, 84.21, 0.209; GCA_934518555.1, s__Faecalibacterium sp934518555, 95.0, 84.16, 0.174; GCA_014858325.1, s__Faecalibacterium sp014858325, 95.0, 83.81, 0.167; GCA_934533135.1, s__Faecalibacterium sp934533135, 95.0, 83.61, 0.178; GCA_934548045.1, s__Faecalibacterium sp934548045, 95.0, 82.86, 0.164	31.96	11.0	0.99152	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
bin.127_sub	root (UID1)	5656	56	24	0.0	0.0	0.0	220508	0	8	8	33324	33324	27563	27563	62286	62286	40.5	1.78	81.0	11	253	56	0	0	0	0	0	6.42	0.0	Neural Network (Specific Model)	11	0.81	33324	236.2292490118577	220508	0.41	253	8	62286		0	0	0.0	1.5797911	0.9999501	Unclassified																		No bacterial or archaeal marker
bin.13_sub	k__Bacteria (UID203)	5449	104	58	51.02	0.0	0.0	2468925	0	357	357	8498	8498	6915	6915	22579	22579	42.0	2.6	86.14	11	2952	68	36	0	0	0	0	46.97	1.32	Neural Network (Specific Model)	11	0.861	8498	241.5165989159892	2468925	0.42	2952	357	22579		0	0	0.0	0.42288232	0.9999968	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola vulgatus	GCF_000012825.1	95.08	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola vulgatus	98.84	0.874	GCF_000012825.1	95.08	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola vulgatus	98.84	0.874	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_019414665.1, s__Phocaeicola sp019414665, 95.0, 98.52, 0.232; GCA_947574505.1, s__Phocaeicola sp947574505, 95.0, 98.48, 0.293; GCA_959599425.1, s__Phocaeicola sp959599425, 95.0, 98.31, 0.304; GCA_948566455.1, s__Phocaeicola sp948566455, 95.0, 97.74, 0.301; GCA_019414725.1, s__Phocaeicola sp019414725, 95.0, 97.44, 0.263; GCA_958434805.1, s__Phocaeicola sp958434805, 95.0, 97.41, 0.249; GCA_948579315.1, s__Phocaeicola sp948579315, 95.0, 96.69, 0.313; GCA_900760795.1, s__Phocaeicola sp900760795, 95.0, 96.11, 0.445; GCF_013009555.1, s__Phocaeicola dorei, 95.0, 95.05, 0.784; GCA_948956705.1, s__Phocaeicola sp948956705, 95.0, 93.89, 0.251; GCF_024622025.1, s__Phocaeicola sartorii, 95.0, 89.85, 0.555; GCA_947072895.1, s__Phocaeicola sp011959205, 95.0, 89.65, 0.426	33.94	11.0		
bin.14_sub	k__Bacteria (UID203)	5449	103	57	15.79	0.0	0.0	665839	0	90	90	8414	8414	7398	7398	31435	31435	41.2	1.51	85.39	11	973	93	10	0	0	0	0	15.22	0.51	Neural Network (Specific Model)	11	0.854	8414	196.48715313463515	665839	0.41	973	90	31435		0	0	0.0	0.36063528	1.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia_C;s__Roseburia_C amylophila	GCF_025567465.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia_C;s__Roseburia_C amylophila	98.29	0.798	GCF_025567465.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia_C;s__Roseburia_C amylophila	98.29	0.798	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia_C;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_900315735.1, s__Roseburia_C sp900315735, 95.0, 93.66, 0.673	10.86	11.0		
bin.17_sub	k__Bacteria (UID203)	5449	104	58	20.14	1.57	70.0	741526	0	142	142	6247	6247	5222	5222	16442	16442	56.3	4.31	79.76	11	1116	77	17	10	0	0	0	21.87	2.15	Neural Network (Specific Model)	11	0.797	6247	177.80824372759858	741526	0.56	1116	142	16442		0	0	0.0	0.39484474	0.9999986	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes putredinis	GCF_000154465.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes putredinis	96.7	0.503	GCF_000154465.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes putredinis	96.7	0.503	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_025145285.1, s__Alistipes onderdonkii, 95.0, 91.79, 0.427; GCF_025145845.1, s__Alistipes shahii, 95.0, 89.02, 0.257; GCF_000265365.1, s__Alistipes finegoldii, 95.0, 87.22, 0.247; GCF_025145645.1, s__Alistipes senegalensis, 95.0, 86.19, 0.2; GCF_021204515.1, s__Alistipes sp021204515, 95.0, 85.89, 0.161; GCF_900541585.1, s__Alistipes sp900541585, 95.0, 85.38, 0.155; GCF_902388705.1, s__Alistipes sp902388705, 95.0, 84.94, 0.151	12.97	11.0		
bin.18	o__Clostridiales (UID1226)	155	278	158	84.48	1.27	0.0	2747756	0	199	199	20722	20722	13807	13807	99616	99616	48.1	2.57	85.34	11	3180	42	234	2	0	0	0	84.23	1.12	Gradient Boost (General Model)	11	0.853	20722	247.3072327044025	2747756	0.48	3180	199	99616		2	56246	0.020469794261208055	0.6179127	0.99989885	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fusicatenibacter;s__Fusicatenibacter saccharivorans	GCF_027667425.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fusicatenibacter;s__Fusicatenibacter saccharivorans	97.58	0.836	GCF_027667425.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fusicatenibacter;s__Fusicatenibacter saccharivorans	97.58	0.836	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fusicatenibacter;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_900772675.1, s__Fusicatenibacter sp900772675, 95.0, 90.42, 0.502	70.25	11.0		
bin.2	o__Clostridiales (UID1212)	172	263	149	96.64	0.67	100.0	2054778	0	19	19	155021	155021	108146	108146	439172	439172	52.9	2.37	90.04	11	1906	5	257	1	0	0	0	99.24	1.46	Gradient Boost (General Model)	11	0.9	155021	324.2277019937041	2054778	0.53	1906	19	439172		0	0	0.0	1.1576128	1.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-217;s__CAG-217 sp000436335	GCA_025757685.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-217;s__CAG-217 sp000436335	97.63	0.916	GCA_025757685.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-217;s__CAG-217 sp000436335	97.63	0.916	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-217;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments		97.12	11.0		
bin.20_sub	k__Bacteria (UID203)	5449	102	56	10.71	0.0	0.0	533600	0	81	81	7897	7897	6587	6587	18134	18134	56.5	2.16	78.82	11	754	93	9	0	0	0	0	14.35	0.05	Neural Network (Specific Model)	11	0.788	7897	188.04376657824932	533600	0.57	754	81	18134		0	0	0.0	0.3620082	0.9998819	Unclassified Bacteria																		Insufficient number of amino acids in MSA (8.3%)
bin.23_sub	k__Bacteria (UID203)	5449	102	56	1.79	0.0	0.0	193654	0	37	37	6483	6483	5233	5233	14381	14381	52.5	2.55	81.33	11	304	100	2	0	0	0	0	4.95	0.0	Neural Network (Specific Model)	11	0.813	6483	174.2434210526316	193654	0.53	304	37	14381		0	0	0.0	0.3894396	0.9999432	Unclassified Bacteria																		Insufficient number of amino acids in MSA (1.2%)
bin.24	f__Lachnospiraceae (UID1256)	33	333	171	86.62	5.66	30.43	2277659	0	165	165	20353	20353	13803	13803	72300	72300	41.2	1.64	85.66	11	2715	38	274	20	1	0	0	77.18	6.04	Neural Network (Specific Model)	11	0.856	20353	240.9362799263352	2277659	0.41	2715	165	72300		0	0	0.0	0.7027959	0.9999969	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter;s__Mediterraneibacter faecis	GCA_001312505.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter;s__Mediterraneibacter faecis	97.23	0.813	GCA_001312505.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter;s__Mediterraneibacter faecis	97.23	0.813	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_934309345.1, s__Mediterraneibacter sp934309345, 95.0, 94.35, 0.776	67.11	11.0		Genome has more than 10.0% of markers with multiple hits
